treat,heat,id,time,t_water,t_air,posture,urine,mass_initial,mass_final,svl,population,feed,Snout,Eye,Head,Dorsum,Leg,Foot,Tail,jump,heat2
Heliothermy,Cooling,PT14,0,19.2,19,0,0,7.78,7.763,70.07,Portimao,3,0,0,0,0,0,0,0,,2
Heliothermy,Cooling,TV14,80,18.5,18.6,0,0,7.918,7.905,68.75,Torres Vedras,1,-3.5,-4.5,-5.5,-5.7,-6.4,-1,-0.7,,2
Heliothermy,Cooling,TV14,100,18.5,18.5,0,0,7.918,7.905,68.75,Torres Vedras,1,-3.5,-5.1,-6.2,-6.6,-7.2,-1.7,-1.2,,2
Heliothermy,Cooling,EV17,40,18.9,18.7,0.5,0,10.266,10.2356,73.58,Evora,1,,,,-2.6,-3,-2.9,-4.3,,2
Heliothermy,Cooling,TV14,120,18.5,18.5,0,0,7.918,7.905,68.75,Torres Vedras,1,,,,-7.3,-7.5,-1.7,-1.7,,2
Heliothermy,Cooling,AY7,60,18.7,18.6,0.5,0,7.4611,7.4547,58.2,Ayamonte,1,-4.3,-6.1,-3.7,-3.3,-3.6,-3.2,-1.8,,2
Heliothermy,Cooling,AY7,80,18.7,18.7,1,0,7.4611,7.4547,58.2,Ayamonte,1,-5.2,-7.3,-4.3,-4,-3.9,-3.7,-1.8,,2
Heliothermy,Cooling,PT14,140,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-4.1,-5.5,-5.7,-8.6,-2.2,,-4.8,,2
Heliothermy,Cooling,PT14,160,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-4.6,-5.9,-6,-9.1,-2.3,,-5.2,,2
Heliothermy,Cooling,PT14,180,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-4.8,-5.9,-6,-9.1,-2,,-5.2,,2
Heliothermy,Cooling,PT14,200,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-4.9,-6.2,-6.4,-9.4,-2.3,,-5.4,,2
Heliothermy,Cooling,PT14,220,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-5.3,-6.5,-6.5,-9.6,-2.2,,-5.6,,2
Heliothermy,Cooling,PT14,240,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-5.6,-6.8,-6.8,-9.8,-2.2,,-5.9,,2
Heliothermy,Cooling,AY18,60,18.7,18.6,1,0,7.2041,7.202,64.5,Ayamonte,1,-3.6,-4.2,-3.3,-4,-3.8,-2.1,-2.1,,2
Heliothermy,Cooling,EV8,60,18.6,18.7,0.5,1,9.4573,9.3479,76.37,Evora,3,-2.3,-1.7,-3.2,-4.2,-3,-3.7,-2.3,,2
Heliothermy,Cooling,PT14,300,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-6.5,-7.5,-7.3,-10.3,-2.2,-1.8,-6.3,,2
Heliothermy,Cooling,PT14,320,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-7,-7.6,-7.6,-10.6,-2.3,-1.8,-6.5,,2
Heliothermy,Cooling,PT14,340,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-7.1,-7.9,-7.9,-10.7,-2.2,-1.9,-6.7,,2
Heliothermy,Cooling,PT14,360,19.2,19,0.5,0,7.78,7.763,70.07,Portimao,3,-7.4,-8.1,-8.1,-10.9,-2.3,-1.8,-6.8,,2
