treat,id,population,heat_2,time_2,body_part,temp,mass_initial,urine,posture
Heliothermy,AY18,Ayamonte,Cooling,0,Snout,0,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,0,Eye,0,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,0,Head,0,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,0,Dorsum,0,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,0,Leg,0,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,0,Foot,0,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,0,Tail,0,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,20,Snout,0.2,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,20,Eye,-0.2,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,20,Head,-0.5,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,20,Dorsum,-0.5,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,20,Leg,-0.8,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,20,Foot,-0.2,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,20,Tail,-0.4,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,40,Snout,-0.2,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,40,Eye,-0.7,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,40,Head,-0.8,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,40,Dorsum,-0.9,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,40,Leg,-1.2,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,40,Foot,-0.2,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,40,Tail,-0.4,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,60,Snout,-0.6,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,60,Eye,-0.8,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,60,Head,-1.2,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,60,Dorsum,-1.2,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,60,Leg,-1.7,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,60,Foot,-0.2,7.2041,0,1
Heliothermy,AY18,Ayamonte,Cooling,60,Tail,-0.5,7.2041,0,1
Heliothermy,AY19,Ayamonte,Cooling,0,Snout,0,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,0,Eye,0,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,0,Head,0,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,0,Dorsum,0,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,0,Leg,0,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,0,Foot,0,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,0,Tail,0,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,20,Snout,-0.5,10.7872,1,0
Heliothermy,AY19,Ayamonte,Cooling,20,Eye,-0.1,10.7872,1,0
Heliothermy,AY19,Ayamonte,Cooling,20,Head,-0.1,10.7872,1,0
Heliothermy,AY19,Ayamonte,Cooling,20,Dorsum,-0.8,10.7872,1,0
Heliothermy,AY19,Ayamonte,Cooling,20,Leg,-0.4,10.7872,1,0
Heliothermy,AY19,Ayamonte,Cooling,20,Foot,-0.7,10.7872,1,0
Heliothermy,AY19,Ayamonte,Cooling,20,Tail,-0.4,10.7872,1,0
Heliothermy,AY19,Ayamonte,Cooling,40,Snout,,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,40,Eye,,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,40,Head,,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,40,Dorsum,,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,40,Leg,,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,40,Foot,,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,40,Tail,,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,60,Snout,-0.6,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,60,Eye,-0.8,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,60,Head,-1,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,60,Dorsum,-2,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,60,Leg,-1.1,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,60,Foot,,10.7872,1,0.5
Heliothermy,AY19,Ayamonte,Cooling,60,Tail,-1.1,10.7872,1,0.5
Heliothermy,AY21,Ayamonte,Cooling,0,Snout,0,7.657,1,0.5
